,,,,,,,
,,,,,,,
CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,PARCELA DO ITEM,PERCENTUAL_INDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
01-13-02-103 C ,"JOELHO 90 GRAUS, PVC, SERIE R, ÁGUA PLUVIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89514","  10,00 "," R$  9,08 "," R$  90,80 ","0,001848616912","99,95738252",C
01-13-02-103 C ,"JOELHO 90 GRAUS, PVC, SERIE R, ÁGUA PLUVIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89514","  10,00 "," R$  9,08 "," R$  90,80 ","0,001848616912","99,95923114",C
01-13-02-127 C ,"LUVA SIMPLES, PVC, SERIE R, ÁGUA PLUVIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO EINSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89544","  10,00 "," R$  8,93 "," R$  89,30 ","0,001818078087","99,96104922",C
01-13-02-127 C ,"LUVA SIMPLES, PVC, SERIE R, ÁGUA PLUVIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO EINSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89544","  10,00 "," R$  8,93 "," R$  89,30 ","0,001818078087","99,9628673",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  16,95 "," R$  5,26 "," R$  89,16 ","0,001815166718","99,96468246",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  16,00 "," R$  5,26 "," R$  84,16 ","0,001713431711","99,96639589",C
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  1,00 "," R$  81,29 "," R$  81,29 ","0,001655000758","99,9680509",C
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  1,00 "," R$  81,29 "," R$  81,29 ","0,001655000758","99,9697059",C
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  1,00 "," R$  81,29 "," R$  81,29 ","0,001655000758","99,9713609",C
62-23-68-040 U H,"ETIQUETA ADESIVA COM IDENTIFICAÇÃO DE VOLTAGEM CABO DE REDE E TV, ROTEADOR, SOM, FIOS, CONECTORES E ETC","  100,00 "," R$  0,80 "," R$  80,00 ","0,001628737368","99,97298963",C
01-22-01-023 C ,"REMOÇÃO DE PORTAS, DE FORMA MANUAL, SEMREAPROVEITAMENTO. AF_09/2023 CS: 97644","  5,67 "," R$  13,30 "," R$  75,41 ","0,00153530892","99,97452494",C
66-23-91-313 U ,REMOÇÃO DE PIA DE INOX (ORSE 09602),"  2,00 "," R$  35,09 "," R$  70,18 ","0,001428809856","99,97595375",C
66-23-91-261 U ,VÁLVULA PARA LAVATÓRIO C-1602 CR DECA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E INSTALAÇÃO,"  1,00 "," R$  62,74 "," R$  62,74 ","0,001277337281","99,97723109",C
66-23-91-261 U ,VÁLVULA PARA LAVATÓRIO C-1602 CR DECA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E INSTALAÇÃO,"  1,00 "," R$  62,74 "," R$  62,74 ","0,001277337281","99,97850843",C
66-23-91-261 U ,VÁLVULA PARA LAVATÓRIO C-1602 CR DECA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E INSTALAÇÃO,"  1,00 "," R$  62,74 "," R$  62,74 ","0,001277337281","99,97978576",C
66-23-91-261 U ,VÁLVULA PARA LAVATÓRIO C-1602 CR DECA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E INSTALAÇÃO,"  1,00 "," R$  62,74 "," R$  62,74 ","0,001277337281","99,9810631",C
65-21-05-733 O ,REMOÇÃO DE VASO SANITÁRIO SEM REAPROVEI_TAMENTO,"  4,00 "," R$  15,02 "," R$  60,08 ","0,001223181763","99,98228628",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  10,00 "," R$  5,26 "," R$  52,60 ","0,001070894819","99,98335718",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  1,00 "," R$  49,70 "," R$  49,70 ","0,00101185309","99,98436903",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  1,00 "," R$  49,70 "," R$  49,70 ","0,00101185309","99,98538089",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  1,00 "," R$  49,70 "," R$  49,70 ","0,00101185309","99,98639274",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  1,00 "," R$  49,70 "," R$  49,70 ","0,00101185309","99,98740459",C
62-23-65-077 O H,PARAFUSOS COM BUCHA S8 - FORNECIMENTO E INSTALAÇÃO,"  130,00 "," R$  0,37 "," R$  48,10 ","0,0009792783422","99,98838387",C
01-13-05-006 C ,"RALO SIFONADO, PVC, DN 100 X 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU EM RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89709","  2,00 "," R$  23,66 "," R$  47,32 ","0,0009633981529","99,98934727",C
01-13-05-006 C ,"RALO SIFONADO, PVC, DN 100 X 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU EM RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89709","  2,00 "," R$  23,66 "," R$  47,32 ","0,0009633981529","99,99031067",C
65-21-05-733 O ,REMOÇÃO DE VASO SANITÁRIO SEM REAPROVEI_TAMENTO,"  3,00 "," R$  15,02 "," R$  45,06 ","0,0009173863223","99,99122805",C
65-21-05-733 O ,REMOÇÃO DE VASO SANITÁRIO SEM REAPROVEI_TAMENTO,"  3,00 "," R$  15,02 "," R$  45,06 ","0,0009173863223","99,99214544",C
65-21-05-733 O ,REMOÇÃO DE VASO SANITÁRIO SEM REAPROVEI_TAMENTO,"  3,00 "," R$  15,02 "," R$  45,06 ","0,0009173863223","99,99306282",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  6,00 "," R$  7,29 "," R$  43,74 ","0,0008905121557","99,99395334",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  5,94 "," R$  7,29 "," R$  43,30 ","0,0008816070342","99,99483494",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  5,02 "," R$  7,29 "," R$  36,60 ","0,0007450618369","99,99558001",C
62-23-74-055 O ,RETIRADA DE ESPELHO,"  1,50 "," R$  18,34 "," R$  27,51 ","0,0005600820623","99,99614009",C
62-23-74-055 O ,RETIRADA DE ESPELHO,"  1,50 "," R$  18,34 "," R$  27,51 ","0,0005600820623","99,99670017",C
62-23-74-055 O ,RETIRADA DE ESPELHO,"  1,44 "," R$  18,34 "," R$  26,41 ","0,0005376787798","99,99723785",C
66-23-91-313 U ,REMOÇÃO DE PIA DE INOX (ORSE 09602),"  0,72 "," R$  35,09 "," R$  25,26 ","0,000514371548","99,99775222",C
01-22-01-023 C ,"REMOÇÃO DE PORTAS, DE FORMA MANUAL, SEMREAPROVEITAMENTO. AF_09/2023 CS: 97644","  1,89 "," R$  13,30 "," R$  25,14 ","0,0005117696401","99,99826399",C
01-22-01-023 C ,"REMOÇÃO DE PORTAS, DE FORMA MANUAL, SEMREAPROVEITAMENTO. AF_09/2023 CS: 97644","  1,89 "," R$  13,30 "," R$  25,14 ","0,0005117696401","99,99877576",C
01-13-05-006 C ,"RALO SIFONADO, PVC, DN 100 X 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU EM RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89709","  1,00 "," R$  23,66 "," R$  23,66 ","0,0004816990765","99,99925746",C
01-22-01-023 C ,"REMOÇÃO DE PORTAS, DE FORMA MANUAL, SEMREAPROVEITAMENTO. AF_09/2023 CS: 97644","  1,47 "," R$  13,30 "," R$  19,55 ","0,0003980430534","99,9996555",C
01-23-01-020 C ,"REMOÇÃO DE FORROS DE DRYWALL, PVC E FIBROMINERAL, DE FORMA MANUAL, SEM REAPROVEITAMENTO. AF_12/2017 CS: 97640","  3,85 "," R$  2,86 "," R$  11,01 ","0,0002241753394","99,99987968",C
62-23-74-315 U ,RETIRADA DE TORNEIRA,"  1,00 "," R$  5,91 "," R$  5,91 ","0,000120322973",100,C
