,,,,,,,
,,,,,,,
CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,PARCELA DO ITEM,PERCENTUAL_INDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
66-23-91-308 U H,"ACIONADOR MANUAL ANALàGICO, ENDERE€µVEL SEM ISOLADOR DE CURTO CIRCUITO, MOD. APOLLO, MARCA GLOBAL FIRE - FORNECIMENTO E INSTALA€ÇO (ORSE 12016)","  22,00 "," R$  966,32 "," R$  21.259,04 ","0,4328174106","83,25723686",B
63-09-01-002 U H,ELETROCALHA PERFURADA EM AÇO GALVANIZADO 200X100X3000MM COM TAMPA - FORNECIMENTO E INSTALAÇÃO,"  150,00 "," R$  140,80 "," R$  21.120,00 ","0,429986665","83,68722353",B
62-23-74-330 U ,"DIVISÓRIA GRANITO CINZA ANDORINHA E=3,0CM,ASSENTADO COM ARGAMASSA TRAÇO 1:4(CIMENTO E AREIA)ARREMATE COM CIMENTO E PERFIL EM AÇO INOX TIPO CANTONEIRA","  20,00 "," R$  1.047,39 "," R$  20.947,80 ","0,4264808078","84,11370434",B
62-23-74-187 U H,"TUBULA€ÇO FRIGORÖGENA DE INTERLIGA€ÇO P/SPLIT 36.000 BTUïS/H, COM TUBO DE COBRE E CABO PP 4X2,5MM, FITA ISOLANTE TRMICA ALUMINIZADA, ABRA€ADEIRA DE  NYLON E GALVANIZADA COM MÇO-DE-OBRA PARA 20,0M","  8,00 "," R$  2.512,08 "," R$  20.096,64 ","0,4091518566","84,52285619",B
63-21-09-009 O ,BOMBA DE DRENO PARA AR CONDICIONADO SPLIT DE ATÉ 30.000 BTU - FORNECIMENTO E INSTALAÇÃO,"  27,00 ","  735,08 "," R$  19.847,28 ","0,4040751678","84,92693136",B
62-23-74-330 U ,"DIVISÓRIA GRANITO CINZA ANDORINHA E=3,0CM,ASSENTADO COM ARGAMASSA TRAÇO 1:4(CIMENTO E AREIA)ARREMATE COM CIMENTO E PERFIL EM AÇO INOX TIPO CANTONEIRA","  18,00 "," R$  1.047,39 "," R$  18.853,02 ","0,3838327271","85,31076409",B
01-15-06-003 C ,"TRANSPORTE COM CAMINHÃO BASCULANTE DE 6M³, EM VIA URBANA PAVIMENTADA, DMT ATÉ 30 KM (UNIDADE: TXKM). AF_07/2020 CS: 97918","  7.500,00 "," R$  2,40 "," R$  18.000,00 ","0,3664659077","85,67723",B
01-16-01-017 C ,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X9X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021 CS: 103351,"  75,00 "," R$  237,41 "," R$  17.805,75 ","0,3625111298","86,03974113",B
"02-01-01-018 O H
88243",ADICIONAL DE HORA EXTRA AOS SÁBADOS 70% - AJUDANTE ESPECIALIZADO COM ENCARGOS COMPLEMENTARESCS:88243,"  1.240,00 "," R$  13,79 "," R$  17.099,60 ","0,3481344686","86,38787559",B
62-23-74-288 U ,LIXAMENTO MANUAL COM LIXA EM PINTURA EXISTENTE,"  2.500,00 "," R$  6,80 "," R$  17.000,00 ","0,3461066906","86,73398228",B
