CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,VALOR TOTAL (R$),PERCENTUAL_IDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  1,00 ","R$ 81,29","R$ 81,29","0,002062149901","124,5613365",C
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  1,00 ","R$ 81,29","R$ 81,29","0,002062149901","124,5633986",C
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  1,00 ","R$ 81,29","R$ 81,29","0,002062149901","124,5654608",C
62-23-68-040 U H,"ETIQUETA ADESIVA COM IDENTIFICAÇÃO DE VOLTAGEM CABO DE REDE E TV, ROTEADOR, SOM, FIOS, CONECTORES E ETC","  100,00 ","R$ 0,80","R$ 80,00","0,002029425416","124,5674902",C
01-22-01-023 C ,"REMOÇÃO DE PORTAS, DE FORMA MANUAL, SEMREAPROVEITAMENTO. AF_09/2023 CS: 97644","  5,67 ","R$ 13,30","R$ 75,41","0,0019130125","124,5694032",C
66-23-91-313 U ,REMOÇÃO DE PIA DE INOX (ORSE 09602),"  2,00 ","R$ 35,09","R$ 70,18","0,001780313446","124,5711835",C
66-23-91-261 U ,VÁLVULA PARA LAVATÓRIO C-1602 CR DECA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E INSTALAÇÃO,"  1,00 ","R$ 62,74","R$ 62,74","0,001591576882","124,5727751",C
66-23-91-261 U ,VÁLVULA PARA LAVATÓRIO C-1602 CR DECA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E INSTALAÇÃO,"  1,00 ","R$ 62,74","R$ 62,74","0,001591576882","124,5743667",C
66-23-91-261 U ,VÁLVULA PARA LAVATÓRIO C-1602 CR DECA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E INSTALAÇÃO,"  1,00 ","R$ 62,74","R$ 62,74","0,001591576882","124,5759583",C
66-23-91-261 U ,VÁLVULA PARA LAVATÓRIO C-1602 CR DECA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E INSTALAÇÃO,"  1,00 ","R$ 62,74","R$ 62,74","0,001591576882","124,5775498",C
65-21-05-733 O ,REMOÇÃO DE VASO SANITÁRIO SEM REAPROVEI_TAMENTO,"  4,00 ","R$ 15,02","R$ 60,08","0,001524098487","124,5790739",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  10,00 ","R$ 5,26","R$ 52,60","0,001334347211","124,5804083",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  1,00 ","R$ 49,70","R$ 49,70","0,00126078054","124,5816691",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  1,00 ","R$ 49,70","R$ 49,70","0,00126078054","124,5829298",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  1,00 ","R$ 49,70","R$ 49,70","0,00126078054","124,5841906",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  1,00 ","R$ 49,70","R$ 49,70","0,00126078054","124,5854514",C
62-23-65-077 O H,PARAFUSOS COM BUCHA S8 - FORNECIMENTO E INSTALAÇÃO,"  130,00 ","R$ 0,37","R$ 48,10","0,001220192031","124,5866716",C
01-13-05-006 C ,"RALO SIFONADO, PVC, DN 100 X 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU EM RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89709","  2,00 ","R$ 23,66","R$ 47,32","0,001200405134","124,587872",C
01-13-05-006 C ,"RALO SIFONADO, PVC, DN 100 X 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU EM RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89709","  2,00 ","R$ 23,66","R$ 47,32","0,001200405134","124,5890724",C
65-21-05-733 O ,REMOÇÃO DE VASO SANITÁRIO SEM REAPROVEI_TAMENTO,"  3,00 ","R$ 15,02","R$ 45,06","0,001143073866","124,5902155",C
65-21-05-733 O ,REMOÇÃO DE VASO SANITÁRIO SEM REAPROVEI_TAMENTO,"  3,00 ","R$ 15,02","R$ 45,06","0,001143073866","124,5913586",C
65-21-05-733 O ,REMOÇÃO DE VASO SANITÁRIO SEM REAPROVEI_TAMENTO,"  3,00 ","R$ 15,02","R$ 45,06","0,001143073866","124,5925016",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  6,00 ","R$ 7,29","R$ 43,74","0,001109588346","124,5936112",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  5,94 ","R$ 7,29","R$ 43,30","0,001098492463","124,5947097",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  5,02 ","R$ 7,29","R$ 36,60","0,0009283555829","124,5956381",C
62-23-74-055 O ,RETIRADA DE ESPELHO,"  1,50 ","R$ 18,34","R$ 27,51","0,0006978686649","124,5963359",C
62-23-74-055 O ,RETIRADA DE ESPELHO,"  1,50 ","R$ 18,34","R$ 27,51","0,0006978686649","124,5970338",C
62-23-74-055 O ,RETIRADA DE ESPELHO,"  1,44 ","R$ 18,34","R$ 26,41","0,0006699539183","124,5977038",C
66-23-91-313 U ,REMOÇÃO DE PIA DE INOX (ORSE 09602),"  0,72 ","R$ 35,09","R$ 25,26","0,0006409128406","124,5983447",C
01-22-01-023 C ,"REMOÇÃO DE PORTAS, DE FORMA MANUAL, SEMREAPROVEITAMENTO. AF_09/2023 CS: 97644","  1,89 ","R$ 13,30","R$ 25,14","0,0006376708335","124,5989823",C
01-22-01-023 C ,"REMOÇÃO DE PORTAS, DE FORMA MANUAL, SEMREAPROVEITAMENTO. AF_09/2023 CS: 97644","  1,89 ","R$ 13,30","R$ 25,14","0,0006376708335","124,59962",C
01-13-05-006 C ,"RALO SIFONADO, PVC, DN 100 X 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU EM RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89709","  1,00 ","R$ 23,66","R$ 23,66","0,0006002025668","124,6002202",C
01-22-01-023 C ,"REMOÇÃO DE PORTAS, DE FORMA MANUAL, SEMREAPROVEITAMENTO. AF_09/2023 CS: 97644","  1,47 ","R$ 13,30","R$ 19,55","0,0004959662038","124,6007162",C
01-23-01-020 C ,"REMOÇÃO DE FORROS DE DRYWALL, PVC E FIBROMINERAL, DE FORMA MANUAL, SEM REAPROVEITAMENTO. AF_12/2017 CS: 97640","  3,85 ","R$ 2,86","R$ 11,01","0,0002793250407","124,6009955",C
62-23-74-315 U ,RETIRADA DE TORNEIRA,"  1,00 ","R$ 5,91","R$ 5,91","0,0001499238026","124,6011454",C
