CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,VALOR TOTAL (R$),PERCENTUAL_IDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
62-23-74-297 U ,"REVESTIMENTO CERÂMICO RETIFICADO 30 X 60BRANCO COM ACABAMENTO ACETINADO DA PORTOBELLO, OU EQUIVALENTE TÉCNICO, ASSENTADOCOM ARGAMASSA INDUSTRIALIZADO AC III, INCLUSIVE REJUNTE","  75,00 ","R$ 193,91","R$ 14.543,25","0,3689305148","110,474148",B
"01-13-01-040 C H
89865","TUBO, PVC, SOLDµVEL, DN 25MM, INSTALADO EM DRENO DE AR-CONDICIONADO - FORNECIMENTO E INSTALACAO. AF_08/2022 CS: 89865","  900,00 ","R$ 16,09","R$ 14.481,00","0,3673513681","110,8414994",B
65-21-03-014 O ,"LOCAÇÃO DE ANDAIME METÁLICO TUBULAR TIPOTORRE 1X1,5M, INCLUSIVE PISO METÁLICO DE 1X1,5M E RODÍZIOS DE POLIURETANO COM FREIOS","  100,00 ","R$ 130,03","R$ 13.003,00","0,3298577335","111,1713572",B
62-23-68-036 O H,BUCHA COM ARRUELA EM ZAMAK P/ELETRODUTO Ø 32 MM (1 1/4),"  1.000,00 ","R$ 12,00","R$ 12.000,00","0,3044138124","111,475771",B
66-23-90-033 O H,ELETRODUTO GALVANIZADO DIAMETRO 3/4 - FORNECIMENTO E INSTALACAO,"  800,00 ","R$ 14,77","R$ 11.814,88","0,299717722","111,7754887",B
64-23-21-672 U H,DETECTOR àPTICO DE FUMA€A TERMOVELOCIMTRICO ENDERE€µVEL - FORNECIMENTO E INSTALACAO,"  50,00 ","R$ 230,06","R$ 11.503,00","0,291806007","112,0672947",B
62-23-74-184 O H,"TUBULACAO FRIGORÖGENA DE INTERLIGACAO P/ SPLIT 60.000 BTUïS/H, COM TUBO DE COBRE E CABO PP 4X2,5MM, FITA ISOLANTE TRMICA ALUMINIZADA, ABRA€ADEIRA DE  NYLON E GALVANIZADA COM MÇO-DE-OBRA PARA 20,0M","  4,00 ","R$ 2.612,95","R$ 10.451,80","0,265139357","112,332434",B
01-12-05-010 C H,"PATCH PANEL 48 PORTAS, CATEGORIA 6 - FORNECIMENTO E INSTALAÇÃO. AF_11/2019 CS: 98304","  3,00 ","R$ 3.097,12","R$ 9.291,36","0,2357015267","112,5681356",B
62-23-65-149 U H,TIRANTE ROSCA TOTAL 5/16 - FORNECIMENTO E INSTALAÇÃO,"  460,00 ","R$ 20,13","R$ 9.259,80","0,2349009183","112,8030365",B
62-23-68-087 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 60X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  4,00 ","R$ 2.225,53","R$ 8.902,12","0,2258273573","113,0288639",B
62-23-68-087 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 60X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  4,00 ","R$ 2.225,53","R$ 8.902,12","0,2258273573","113,2546912",B
63-21-11-107 O ,TRANSPORTE HORIZONTAL DE MATERIAIS DIVERSOS A 60M DE DISTÂNCIA COM CARRINHO OUJERICA.,"  100,00 ","R$ 88,56","R$ 8.856,00","0,2246573935","113,4793486",B
63-24-20-412 U ,"PORTA EM ALUMÍNIO ANODIZADO BRANCO, VENEZIANA, DE ABRIR, 0,80 X 2,10M - FORNECIMENTO E INSTALAÇÃO","  3,00 ","R$ 2.855,94","R$ 8.567,82","0,2173468958","113,6966955",B
64-23-23-576 O ,RETIRADA DE ENTULHO DA OBRA UTILIZANDOCAIXA COLETORA METÁLICA PARA ATÉ 5M3,"  20,00 ","R$ 411,08","R$ 8.221,60","0,20856405","113,9052595",B
01-13-10-059 C H,"SUPORTE PARA ELETROCALHA LISA OU PERFURA DA EM AÇO GALVANIZADO, LARGURA 400 MM, EM PERFILADO COM COMPRIMENTO DE 45 CM FIXADO EM LAJE, POR METRO DE ELETROCALHA FIXADA. AF_09/2023 CS: 96562","  180,00 ","R$ 45,65","R$ 8.217,00","0,208447358","114,1137069",B
"02-01-01-024 O H
88264",ADICIONAL DE HORA EXTRA AOS SÁBADOS 70% -ELETRICISTA COM ENCARGOS COMPLEMENTARES CS:88264,"  440,00 ","R$ 18,30","R$ 8.052,00","0,2042616681","114,3179686",B
62-23-65-100 O H,"CAIXA DE PASSAGEM EM PVC, SOBREPOR, DIMENSÕES 20X20X10 CM - FORNECIMENTO E INSTALAÇÃO - ELÉTRICA","  42,00 ","R$ 186,62","R$ 7.838,04","0,1988339698","114,5168025",B
62-23-65-172 O H,"ELETRODUTO DE PVC COM CONEXÕES, 1``COR BRANCA","  350,00 ","R$ 21,54","R$ 7.539,00","0,1912479776","114,7080505",B
62-23-65-002 U H,"TOMADA SISTEMA X  2P+T,  PADRÃO BRASILEIRO DUPLA 10A, 250VCA CONFORME ABNT NBR14136, A 0,40 DE ALTURA","  150,00 ","R$ 50,17","R$ 7.525,50","0,1909055121","114,898956",B
63-24-20-203 O H,"INSTALACAO DE CONDICIONADOR DE AR TIPO SPLIT HIGH WALL, 18.000 BTU/H - APENAS M.O. (NOVO)","  11,00 ","R$ 666,00","R$ 7.326,00","0,1858446325","115,0848007",B
63-23-91-019 O ,"PORTA DE MADEIRA MACIÇA COMPLETA, COM FECHADURA - INSTALADA","  11,76 ","R$ 584,74","R$ 6.876,54","0,174442874","115,2592435",B
62-23-68-002 U H,"BLOCO AUTÔNOMO DE ILUMINAÇÃO DE EMERGÊNCIA (ACLARAMENTO)30 LEDS SEM PICTOGRAMA, LED DE 2W DE ALTA INTENSIDADE.","  30,00 ","R$ 225,85","R$ 6.775,50","0,1718796488","115,4311232",B
65-21-13-310 U ,CARGA MANUAL DE RESÍDUOS DE NATUREZAS DIVERSAS EM CAMINHÃO COM CARROCERIA,"  100,00 ","R$ 66,88","R$ 6.688,00","0,1696599648","115,6007832",B
63-24-20-204 O H,"INSTALACAO DE CONDICIONADOR DE AR TIPO SPLIT HIGH WALL, 24.000 BTU/H - APENAS M.O. (NOVO)","  10,00 ","R$ 666,00","R$ 6.660,00","0,1689496659","115,7697328",B
62-23-74-273 U ,"REBOCO PARA PAREDE INTERNA OU EXTERNA,COM ARGAMASSA PRÉ-FABRICADA,E=5MM","  150,00 ","R$ 44,24","R$ 6.636,00","0,1683408383","115,9380737",B
62-23-68-085 U ,"PORTA DE ALUMÍNIO DE ABRIR TIPO VENEZIANA COM ACABAMENTO LETROSTÁTICA BRANCA DIM.: 90X210CM, COMPLETA - FORNECIMENTO E INSTALAÇÃO","  2,00 ","R$ 3.301,81","R$ 6.603,62","0,1675194283","116,1055931",B
62-23-65-100 O H,"CAIXA DE PASSAGEM EM PVC, SOBREPOR, DIMENSÕES 20X20X10 CM - FORNECIMENTO E INSTALAÇÃO - ELÉTRICA","  35,00 ","R$ 186,62","R$ 6.531,70","0,1656949749","116,2712881",B
63-20-11-004 O ,PINTURA ACRÍLICA SEMI-BRILHO SUVINIL NACOR BRANCO NEVE,"  150,00 ","R$ 43,28","R$ 6.492,00","0,1646878725","116,4359759",B
66-23-91-017 U ,LONA PLÁSTICA PRETA ESP.= 150 MICRAS (ORSE/3642),"  750,00 ","R$ 8,19","R$ 6.142,50","0,1558218202","116,5917978",B
01-21-04-250,MONTAGEM E DESMONTAGEM DE ANDAIME TUBULAR TIPO ?TORRE? (EXCLUSIVE ANDAIME E LIMPEZA). AF_11/2017 CS: 97064,"  200,00 ","R$ 29,86","R$ 5.971,29","0,1514784845","116,7432762",B
73-22-33-079 O ,TIRANTE COM ROSCA TOTAL Ø=3/8 PARA FIXAÇÃO DE ELETROCALHAS E CANTONEIRAS DE SUPORTE DOS DUTOS DE AR CONDICIONADOS E AFINS,"150,00 ","R$ 39,80","R$ 5.970,00","0,1514458717","116,8947221",B
66-23-68-024 U H,"CABO ÓPTICO, MULTIMODO, 50/125, EXTERNO,ANTI-ROEDOR, 04 FIBRAS ÓPTICAS, FURUKA_WA OU SIMILAR TÉCNICO","  250,00 ","R$ 22,23","R$ 5.557,50","0,1409816469","117,0357038",B
